cluster	topic	roleset	prop name	prop rol desc	arg0	arg1	argL	argT	example
capable | power | grant	42	able.01	have an ability, skill, being able	1: entity with ability		T-Mobile business customers			T - Mobile will carry the BlackBerry Q10 , <m> business registration </m> begins April 29th
terminate | end | stop	45	abort.01	to terminate	0: causer, agent | 1: entity aborted	Ka'loni Flynn	unborn fetus			A jury in eastern Oklahoma has convicted a 27 - year - old man of shooting dead his pregnant girlfriend and her unborn baby after she refused to get an <m> abortion </m> .
speed_up | motivate | cause	44	accelerate.01	make be faster, the act of speeding up	0: agent, causing acceleration | 1: thing accelerating	acquire.01	reach.02			Hewlett-Packard CEO Mark Hurd believes that the $ 13 billion acquisition of Electronic Data Systems will help build out HP 's enterprise services offerings and `` <m> accelerate </m> '' the company 's reach into new accounts , he said .
speed_up | motivate | cause	43	accelerate.01	make be faster, the act of speeding up	0: agent, causing acceleration | 1: thing accelerating	invest.01	migrate.01			AMD Announces Strategic Investment to <m> Accelerate </m> Cloud Server Strategy
bring | follow | lead	39	accompany.01	go along with	0: subject accompanier | 1: object accompanied	name	Matt Smith	NA	NA	Just hours after little-known actor Matt Smith was named as the new Doctor in the BBC Wales hit show , speculation mounted that a star name would <m> accompany </m> him on his time-travelling adventures .
report | say | announce	42	accord.01	to give	0: giver | 1: gift	state.01	available.02			BlackBerry's ( NASDAQ : BBRY ) new Q10 smartphone will be available for preorder for business customers on T - Mobile's website April 29 , <m> according to </m> an online statement by the carrier .
report | say | announce	38	accord.02	follow a procedure; be in line with expectations or other facts	0: follower of procedure | 1: action done	US Geological Survey	measure.01	Sonoma County	03	An earthquake measuring 4 . 6 rattled Sonoma and Lake counties early Thursday , <m> according to </m> the U . S . Geological Survey .
report | say | announce	37	accord.02	follow a procedure; be in line with expectations or other facts	0: follower of procedure | 1: action done	UN	NA	Manokwari	NA	At least five people were killed , 250 others injured and more than 800 homes destroyed by those temblors , <m> according to </m> the UN .
report | say | announce	41	accord.02	follow a procedure; be in line with expectations or other facts	0: follower of procedure | 1: action done	news agency	say.01	Gaza	NA	Two Israeli tank shells struck the school in Jabaliya refugee camp , spraying shrapnel on people inside and outside the building , <m> according to </m> news agency reports .
report | refer | announce	42	accord.03	create or agree to a pact	0: first party in agreement, both parties when mentioned together | 1: subject of promise, subject/topic pact involves					BlackBerry's ( NASDAQ : BBRY ) new Q10 smartphone will be available for preorder for business customers on T - Mobile's website April 29 , <m> according to </m> an online statement by the carrier .
